actor_id;first_name;last_name;last_update
163;CHRISTOPHER;WEST;2017-02-15 09:34:33+00
164;HUMPHREY;WILLIS;2017-02-15 09:34:33+00
165;AL;GARLAND;2017-02-15 09:34:33+00
166;NICK;DEGENERES;2017-02-15 09:34:33+00
167;LAURENCE;BULLOCK;2017-02-15 09:34:33+00
168;WILL;WILSON;2017-02-15 09:34:33+00
169;KENNETH;HOFFMAN;2017-02-15 09:34:33+00
170;MENA;HOPPER;2017-02-15 09:34:33+00
171;OLYMPIA;PFEIFFER;2017-02-15 09:34:33+00
172;GROUCHO;WILLIAMS;2017-02-15 09:34:33+00
173;ALAN;DREYFUSS;2017-02-15 09:34:33+00
174;MICHAEL;BENING;2017-02-15 09:34:33+00
175;WILLIAM;HACKMAN;2017-02-15 09:34:33+00
176;JON;CHASE;2017-02-15 09:34:33+00
177;GENE;MCKELLEN;2017-02-15 09:34:33+00
178;LISA;MONROE;2017-02-15 09:34:33+00
179;ED;GUINESS;2017-02-15 09:34:33+00
180;JEFF;SILVERSTONE;2017-02-15 09:34:33+00
181;MATTHEW;CARREY;2017-02-15 09:34:33+00
182;DEBBIE;AKROYD;2017-02-15 09:34:33+00
183;RUSSELL;CLOSE;2017-02-15 09:34:33+00
184;HUMPHREY;GARLAND;2017-02-15 09:34:33+00
185;MICHAEL;BOLGER;2017-02-15 09:34:33+00
186;JULIA;ZELLWEGER;2017-02-15 09:34:33+00
187;RENEE;BALL;2017-02-15 09:34:33+00
188;ROCK;DUKAKIS;2017-02-15 09:34:33+00
189;CUBA;BIRCH;2017-02-15 09:34:33+00
190;AUDREY;BAILEY;2017-02-15 09:34:33+00
191;GREGORY;GOODING;2017-02-15 09:34:33+00
192;JOHN;SUVARI;2017-02-15 09:34:33+00
193;BURT;TEMPLE;2017-02-15 09:34:33+00
194;MERYL;ALLEN;2017-02-15 09:34:33+00
195;JAYNE;SILVERSTONE;2017-02-15 09:34:33+00
196;BELA;WALKEN;2017-02-15 09:34:33+00
197;REESE;WEST;2017-02-15 09:34:33+00
198;MARY;KEITEL;2017-02-15 09:34:33+00
199;JULIA;FAWCETT;2017-02-15 09:34:33+00
200;THORA;TEMPLE;2017-02-15 09:34:33+00
